Movie Title,Release Date,Wikipedia URL,Genre,Cast (1),Cast (2),Cast (3),Cast (4),Cast (5),Budget ,Revenue,profit,director,return on investment,year
Raiders of the Lost Ark: The IMAX Experience,07-09-2012,https://en.wikipedia.org/wiki/Raiders_of_the_Lost_Ark,Action,Harrison Ford,John Rhys-Davies,Karen Allen,Paul Freeman,Alfred Molina,18000000,389900000,371900000,Steven Spielberg,2066.11%,2012
Rams,15-05-2015,https://en.wikipedia.org/wiki/Rams_(film),Drama,Sigurður Sigurjónsson,unknown,unknown,unknown,unknown,1750000,1740000,-10000,Grímur Hákonarson,-0.57%,2015
Ratchet & Clank,29-04-2016,https://en.wikipedia.org/wiki/Ratchet_%2526_Clank_(film),Sci-Fi,Paul Giamatti,John Goodman,Bella Thorne,Rosario Dawson,James Arnold Taylor,20000000,12800000,-7200000,Jerrica Cleland,-36.00%,2016
RED 2,19-07-2013,https://en.wikipedia.org/wiki/RED_2_(film),Action,Bruce Willis,John Malkovich,Helen Mirren,Mary-Louise Parker,Catherine Zeta-Jones,84000000,148100000,64100000,Dean Parisot,76.31%,2013
Red Dawn,21-11-2012,https://en.wikipedia.org/wiki/Red_Dawn_(2012_film),Action,Will Yun Lee,Chris Hemsworth,Josh Peck,Adrianne Palicki,Josh Hutcherson,65000000,48100000,-16900000,Dan Bradley,-26.00%,2012
Red Tails,20-01-2012,https://en.wikipedia.org/wiki/Red_Tails,Drama,Cuba Gooding Jr.,Nate Parker,David Oyelowo,Daniela Ruah,Terrence Howard,58000000,50400000,-7600000,Anthony Hemingway,-13.10%,2012
Resident Evil: Retribution,14-09-2012,https://en.wikipedia.org/wiki/Resident_Evil:_Retribution,Action,Milla Jovovich,Sienna Guillory,Colin Salmon,Boris Kodjoe,Michelle Rodriguez,65000000,240200000,175200000,Paul W. S. Anderson,269.54%,2012
Ricki and the Flash,07-08-2015,https://en.wikipedia.org/wiki/Ricki_and_the_Flash,Comedy,Meryl Streep,Kevin Kline,Mamie Gummer,Audra McDonald,Sebastian Stan,18000000,41300000,23300000,Jonathan Demme,129.44%,2015
Riddick,06-09-2013,https://en.wikipedia.org/wiki/Riddick_(film),Action,Vin Diesel,Karl Urban,Katee Sackhoff,Dave Bautista,Matthew Nable,40000000,100300000,60300000,David Twohy,150.75%,2013
Ride Along,17-01-2014,https://en.wikipedia.org/wiki/Ride_Along_(film),Action,Ice Cube,Kevin Hart,John Leguizamo,Bruce McGill,Tika Sumpter,25000000,154500000,129500000,Tim Story,518.00%,2014
Ride Along 2,15-01-2016,https://en.wikipedia.org/wiki/Ride_Along_2,Comedy,Ice Cube,Kevin Hart,Benjamin Bratt,Olivia Munn,Ken Jeong,40000000,124200000,84200000,Tim Story,210.50%,2016
Rio 2,20-03-2014,https://en.wikipedia.org/wiki/Rio_2,Family,Jesse Eisenberg,Anne Hathaway,Leslie Mann,Bruno Mars,Jemaine Clement,103000000,500100000,397100000,Carlos Saldanha,385.53%,2014
Rise of the Guardians,21-11-2012,https://en.wikipedia.org/wiki/Rise_of_the_Guardians,Adventure,Chris Pine,Alec Baldwin,Hugh Jackman,Isla Fisher,Jude Law,145000000,306900000,161900000,Peter Ramsey,111.66%,2012
Risen,19-02-2016,https://en.wikipedia.org/wiki/Risen_(2016_film),Drama,Joseph Fiennes,Tom Felton,Cliff Curtis,unknown,unknown,20000000,46100000,26100000,Kevin Reynolds,130.50%,2016
RoboCop,30-01-2014,https://en.wikipedia.org/wiki/RoboCop_(2014_film),Action,Joel Kinnaman,Gary Oldman,Michael Keaton,Samuel L. Jackson,Jackie Earle Haley,100000000,242700000,142700000,José Padilha,142.70%,2014
Robot & Frank,17-08-2012,https://en.wikipedia.org/wiki/Robot_%2526_Frank,Comedy,Frank Langella,Susan Sarandon,James Marsden,Liv Tyler,Peter Sarsgaard,2500000,4900000,2400000,Jake Schreier,96.00%,2012
Rock of Ages,15-06-2012,https://en.wikipedia.org/wiki/Rock_of_Ages_(2012_film),Musical,Julianne Hough,Diego Boneta,Tom Cruise,Alec Baldwin,Russell Brand,75000000,59400000,-15600000,Adam Shankman,-20.80%,2012
Rock the Kasbah,22-10-2015,https://en.wikipedia.org/wiki/Rock_the_Kasbah_(film),Comedy,Bill Murray,Bruce Willis,Kate Hudson,Scott Caan,Zooey Deschanel,15000000,3400000,-11600000,Barry Levinson,-77.33%,2015
Romeo and Juliet,26-07-2013,https://en.wikipedia.org/wiki/Romeo_and_Juliet_(2013_film),Drama,Hailee Steinfeld,Douglas Booth,Damian Lewis,Natascha McElhone,Lesley Manville,15000000,3000000,-12000000,Carlo Carlei,-80.00%,2013
Room,04-09-2015,https://en.wikipedia.org/wiki/Room_(2015_film),Drama,Brie Larson,Joan Allen,William H. Macy,Sean Bridgers,Jacob Tremblay,13000000,36000000,23000000,Lenny Abrahamson,176.92%,2015
Run All Night,13-03-2015,https://en.wikipedia.org/wiki/Run_All_Night_(film),Action,Liam Neeson,Joel Kinnaman,Ed Harris,unknown,unknown,61600000,71700000,10100000,Jaume Collet-Serra,16.40%,2015
Runner,27-09-2013,"https://en.wikipedia.org/wiki/Runner,_Runner_(film)",Crime,Ben Affleck,Justin Timberlake,Gemma Arterton,Anthony Mackie,unknown,30000000,30000000,0,Brad Furman,0.00%,2013
Rush,20-09-2013,https://en.wikipedia.org/wiki/Rush_(2013_film),Action,Chris Hemsworth,Daniel Bruhl,Olivia Wilde,Alexandra Maria Lara,unknown,38000000,90200000,52200000,Ron Howard,137.37%,2013
Sabotage,19-03-2014,https://en.wikipedia.org/wiki/Sabotage_(2014_film),Action,Arnold Schwarzenegger,Mireille Enos,Sam Worthington,Joe Manganiello,Olivia Williams,35000000,17500000,-17500000,David Ayer,-50.00%,2014
Safe House,10-02-2012,https://en.wikipedia.org/wiki/Safe_House_(2012_film),Action,Denzel Washington,Ryan Reynolds,Sam Shepard,Robert Patrick,Liam Cunningham,85000000,208100000,123100000,Daniel Espinosa,144.82%,2012
Salmon Fishing in the Yemen,09-03-2012,https://en.wikipedia.org/wiki/Salmon_Fishing_in_the_Yemen,Drama,Ewan McGregor,Emily Blunt,Kristin Scott Thomas,Amr Waked,unknown,14400000,34600000,20200000, Lasse Hallström,140.28%,2012
Savages,06-07-2012,https://en.wikipedia.org/wiki/Savages_(2012_film),Crime,Taylor Kitsch,Blake Lively,Aaron Johnson,John Travolta,Benicio del Toro,45000000,83000000,38000000,Oliver Stone,84.44%,2012
Scary Movie 5,12-04-2013,https://en.wikipedia.org/wiki/Scary_Movie_5,Comedy,Ashley Tisdale,Simon Rex,Lindsay Lohan,Charlie Sheen,Terry Crews,20000000,78400000,58400000,Malcolm D. Lee,292.00%,2013
Secret in Their Eyes,20-11-2015,https://en.wikipedia.org/wiki/Secret_in_Their_Eyes,Crime,Julia Roberts,Nicole Kidman,Chiwetel Ejiofor,Dean Norris,unknown,19500000,32200000,12700000,Billy Ray,65.13%,2015
Self/less,10-07-2015,https://en.wikipedia.org/wiki/Self/less,Drama,Ryan Reynolds,Ben Kingsley,Natalie Martinez,Victor Garber,Matthew Goode,26000000,30500000,4500000,Tarsem Singh,17.31%,2015
Selma,25-12-2014,https://en.wikipedia.org/wiki/Selma_(film),Drama,David Oyelowo,Tom Wilkinson,Common,Carmen Ejogo,unknown,20000000,66800000,46800000,Ava DuVernay,234.00%,2014
Seventh Son,17-12-2014,https://en.wikipedia.org/wiki/Seventh_Son_(film),Fantasy,Ben Barnes,Jeff Bridges,Julianne Moore,Alicia Vikander,Kit Harington,95000000,114200000,19200000,Sergei Bodrov,20.21%,2014
Shaun the Sheep Movie,24-01-2015,https://en.wikipedia.org/wiki/Shaun_the_Sheep_Movie,Adventure,Justin Fletcher,John Sparkes,unknown,unknown,unknown,25000000,106000000,81000000,Mark Burton,324.00%,2015
Sicario,19-05-2015,https://en.wikipedia.org/wiki/Sicario_(2015_film),Crime,Emily Blunt,Benicio del Toro,Josh Brolin,Jon Bernthal,unknown,30000000,84900000,54900000,Denis Villeneuve,183.00%,2015
Side Effects,08-02-2013,https://en.wikipedia.org/wiki/Side_Effects_(2013_film),Crime,Rooney Mara,Jude Law,Channing Tatum,Catherine Zeta-Jones,Vinessa Shaw,30000000,66700000,36700000,Steven Soderbergh,122.33%,2013
Silent Hill: Revelation 3D,26-10-2012,https://en.wikipedia.org/wiki/Silent_Hill:_Revelation_3D,Horror,Adelaide Clemens,Sean Bean,Radha Mitchell,Kit Harington,Carrie-Anne Moss,20000000,52300000,32300000,Michael J. Bassett,161.50%,2012
Silver Linings Playbook,16-11-2012,https://en.wikipedia.org/wiki/Silver_Linings_Playbook,Drama,Bradley Cooper,Jennifer Lawrence,Brea Bee,Robert De Niro,Jacki Weaver,21000000,236400000,215400000,David O. Russell,1025.71%,2012
Sin City: A Dame to Kill For,19-08-2014,https://en.wikipedia.org/wiki/Sin_City:_A_Dame_to_Kill_For,Crime,Jessica Alba,Powers Boothe,Josh Brolin,Rosario Dawson,Joseph Gordon-Levitt,65000000,39400000,-25600000,Frank Miller,-39.38%,2014
Sinister,12-10-2012,https://en.wikipedia.org/wiki/Sinister_(film),Horror,Ethan Hawke,Juliet Rylance,Fred Thompson,Vincent D'Onofrio,unknown,3000000,77700000,74700000,Scott Derrickson,2490.00%,2012
Sinister 2,21-08-2015,https://en.wikipedia.org/wiki/Sinister_2,Horror,James Ransone,Shannyn Sossamon,unknown,unknown,unknown,10000000,52900000,42900000,Ciaran Foy,429.00%,2015
Sisters,18-12-2015,https://en.wikipedia.org/wiki/Sisters_(2015_film),Comedy,Amy Poehler,Tina Fey,John Cena,Maya Rudolph,unknown,30000000,105000000,75000000,Jason Moore,250.00%,2015
Snitch,22-02-2013,https://en.wikipedia.org/wiki/Snitch_(film),Action,Dwayne Johnson,Susan Sarandon,Benjamin Bratt,Barry Pepper,unknown,15000000,57800000,42800000,Ric Roman Waugh,285.33%,2013
Snow White and the Huntsman,01-06-2012,https://en.wikipedia.org/wiki/Snow_White_and_the_Huntsman,Action,Charlize Theron,Kristen Stewart,Chris Hemsworth,Sam Spruell,Ian McShane,170000000,396600000,226600000,Rupert Sanders,133.29%,2012
Son of God,28-02-2014,https://en.wikipedia.org/wiki/Son_of_God_(film),Drama,Diogo Morgado,Roma Downey,Darwin Shaw,unknown,unknown,22000000,67800000,45800000,Christopher Spencer,208.18%,2014
Son of Saul,15-05-2015,https://en.wikipedia.org/wiki/Son_of_Saul,Drama,Géza Röhrig,unknown,unknown,unknown,unknown,1500000,6200000,4700000, László Nemes,313.33%,2015
Southpaw,15-06-2015,https://en.wikipedia.org/wiki/Southpaw_(film),Drama,Jake Gyllenhaal,Rachel McAdams,Naomie Harris,Forest Whitaker,Victor Ortiz,30000000,92000000,62000000,Antoine Fuqua,206.67%,2015
Spotlight,03-09-2015,https://en.wikipedia.org/wiki/Spotlight_(film),Drama,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,John Slattery,20000000,88300000,68300000,Tom McCarthy,341.50%,2015
Spy,15-05-2015,https://en.wikipedia.org/wiki/Spy_(2015_film),Action,Melissa McCarthy,Jason Statham,Rose Byrne,Miranda Hart,Bobby Cannavale,65000000,235700000,170700000,Paul Feig,262.62%,2015
St. Vincent,05-09-2014,https://en.wikipedia.org/wiki/St._Vincent_(film),Comedy,Bill Murray,Melissa McCarthy,Naomi Watts,Chris O'Dowd,Kimberly Quinn,13000000,54800000,41800000,Theodore Melfi,321.54%,2014
Stand by Me Doraemon,08-08-2014,https://en.wikipedia.org/wiki/Stand_by_Me_Doraemon,Animation,Wasabi Mizuta,Megumi Ohara,Yumi Kakazu,Tomokazu Seki,Subaru Kimura,35000000,196400000,161400000,Takashi Yamazaki,461.14%,2014
Star Trek Beyond,22-07-2016,https://en.wikipedia.org/wiki/Star_Trek_Beyond,Action,Chris Pine,Zachary Quinto,Zoe Saldana,Karl Urban,John Cho,185000000,243000000,58000000,Justin Lin,31.35%,2016
Step Up: All In,08-08-2014,https://en.wikipedia.org/wiki/Step_Up:_All_In,Drama,Ryan Guzman,Briana Evigan,Alyson Stoner,Adam Sevani,Mari Koda,45000000,86200000,41200000,Trish Sie,91.56%,2014
Steve Jobs,05-09-2015,https://en.wikipedia.org/wiki/Steve_Jobs_(2015_film),Biography,Michael Fassbender,Seth Rogen,Kate Winslet,Jeff Daniels,Katherine Waterston,30000000,34400000,4400000,Danny Boyle,14.67%,2015
Straight Outta Compton,11-08-2015,https://en.wikipedia.org/wiki/Straight_Outta_Compton_(2015_film),Biography,O'Shea Jackson Jr.,Neil Brown Jr.,Corey Hawkins,Jason Mitchell,Aldis Hodge,50000000,201600000,151600000,F. Gary Gray,303.20%,2015
Suffragette,04-09-2015,https://en.wikipedia.org/wiki/Suffragette_(film),Drama,Carey Mulligan,Helena Bonham Carter,Meryl Streep,Ben Whishaw,Brendan Gleeson,14000000,32000000,18000000,Sarah Gavron,128.57%,2015
Suicide Squad,05-08-2016,https://en.wikipedia.org/wiki/Suicide_Squad_(film),Action,Will Smith,Jared Leto,Margot Robbie,Joel Kinnaman,Viola Davis,175000000,636700000,461700000,David Ayer,263.83%,2016
Taken 2,05-10-2012,https://en.wikipedia.org/wiki/Taken_2,Action,Liam Neeson,Famke Janssen,Maggie Grace,Rade Sherbedgia,Luke Grimes,43000000,376100000,333100000,Olivier Megaton,774.65%,2012
Tammy,02-07-2014,https://en.wikipedia.org/wiki/Tammy_(film),Comedy,Melissa McCarthy,Susan Sarandon,Allison Janney,Toni Collette,Sandra Oh,20000000,100500000,80500000,Ben Falcone,402.50%,2014
Ted,29-06-2012,https://en.wikipedia.org/wiki/Ted_(film),Comedy,Mark Wahlberg,Mila Kunis,Seth MacFarlane,Giovanni Ribisi,Joel McHale,51000000,549400000,498400000,Seth MacFarlane,977.25%,2012
Ted 2,24-06-2015,https://en.wikipedia.org/wiki/Ted_2,Comedy,Mark Wahlberg,Jessica Barth ,Seth MacFarlane,Amanda Seyfried,Giovanni Ribisi,68000000,216700000,148700000,Seth MacFarlane,218.68%,2015
Teenage Mutant Ninja Turtles,29-07-2014,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles_(2014_film),Action,Megan Fox,Johnny Knoxville,Alan Ritchson,Noel Fisher,Jeremy Howard,125000000,493300000,368300000,Jonathan Liebesman,294.64%,2014
Teenage Mutant Ninja Turtles: Out of the Shadows,22-05-2016,https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows,Action,Megan Fox,Stephen Amell,Will Arnett,Laura Linney,Brian Tee,135000000,242500000,107500000,Dave Green,79.63%,2016
Terminator Genisys,22-06-2015,https://en.wikipedia.org/wiki/Terminator_Genisys,Sci-Fi,Arnold Schwarzenegger,J. K. Simmons,Emilia Clarke,Jason Clarke,Jai Courtney,155000000,440600000,285600000,Alan Taylor,184.26%,2015
Texas Chainsaw 3D,04-01-2013,https://en.wikipedia.org/wiki/Texas_Chainsaw_3D,Horror,Alexandra Daddario,Dan Yeager,Trey Songz,Scott Eastwood,Tania Raymonde,20000000,47200000,27200000,John Luessenhop,136.00%,2013
That Awkward Moment,27-01-2014,https://en.wikipedia.org/wiki/That_Awkward_Moment,Comedy,Zac Efron,Michael B. Jordan,Miles Teller,Imogen Poots,Jessica Lucas,8000000,40500000,32500000,Tom Gormican,406.25%,2014
The 33,06-08-2015,https://en.wikipedia.org/wiki/The_33_(film),Drama,Antonio Banderas,Rodrigo Santoro,Juliette Binoche,James Brolin,Lou Diamond Phillips,26000000,24900000,-1100000,Patricia Riggen,-4.23%,2015
The 5th Wave,22-01-2016,https://en.wikipedia.org/wiki/The_5th_Wave_(film),Sci-Fi,Chloe Grace Moretz,Nick Robinson,Alex Roe,Liev Schreiber,Maika Monroe,35000000,110700000,75700000,J Blakeson,216.29%,2016
The Age of Adaline,24-04-2015,https://en.wikipedia.org/wiki/The_Age_of_Adaline,Romance,Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn,Amanda Crew,25000000,65700000,40700000,Lee Toland Krieger,162.80%,2015
The Amazing Spider-Man,03-07-2012,https://en.wikipedia.org/wiki/The_Amazing_Spider-Man_(2012_film),Action,Andrew Garfield,Emma Stone,Max Charles,Martin Sheen,Sally Field,230000000,757900000,527900000,Marc Webb,229.52%,2012
The Angry Birds Movie,05-05-2016,https://en.wikipedia.org/wiki/The_Angry_Birds_Movie,Comedy,Jason Sudeikis,Josh Gad,Danny McBride,Bill Hader,Maya Rudolph,73000000,346900000,273900000,Clay Kaytis,375.21%,2016
The Best Exotic Marigold Hotel,04-05-2012,https://en.wikipedia.org/wiki/The_Best_Exotic_Marigold_Hotel,Comedy,Judi Dench,Bill Nighy,Dev Patel,Tom Wilkinson,Maggie Smith,10000000,136800000,126800000,John Madden,1268.00%,2012
The Big Short,11-12-2015,https://en.wikipedia.org/wiki/The_Big_Short_(film),Biography,Religious Bale,Steve Carell,Ryan Gosling,Brad Pitt,Melissa Leo,28000000,133300000,105300000,Adam McKay,376.07%,2015
The Bling Ring,14-06-2013,https://en.wikipedia.org/wiki/The_Bling_Ring,Comedy,Emma Watson,Israel Broussard,Katie Chang,Claire Julien,Taissa Farmiga,8000000,19100000,11100000,Sofia Coppola,138.75%,2013
The Book of Life,12-10-2014,https://en.wikipedia.org/wiki/The_Book_of_Life_(2014_film),Family,Christina Applegate,Diego Luna,Zoe Saldana,Channing Tatum,unknown,50000000,99800000,49800000,Jorge R. Gutierrez,99.60%,2014
The Boss,08-04-2016,https://en.wikipedia.org/wiki/The_Boss_(2016_film),Comedy,Melissa McCarthy,Kristen Bell,Peter Dinklage,Tyler Labine,Kristen Schaal,29000000,78600000,49600000,Ben Falcone,171.03%,2016
The Bourne Legacy,10-08-2012,https://en.wikipedia.org/wiki/The_Bourne_Legacy_(film),Action,Jeremy Renner,Rachel Weisz,Edward Norton,Oscar Isaac,Joan Allen,125000000,276100000,151100000,Tony Gilroy,120.88%,2012
The Boxtrolls,31-08-2014,https://en.wikipedia.org/wiki/The_Boxtrolls,Family,Ben Kingsley,Toni Collette,Elle Fanning,Isaac Hempstead-Wright,Jared Harris,60000000,109300000,49300000,Anthony Stacchi,82.17%,2014
The Boy,22-01-2016,https://en.wikipedia.org/wiki/The_Boy_(2016_film),Horror,Lauren Cohan,Rupert Evans,Jim Norton,Diana Hardcastle,unknown,10000000,64200000,54200000,William Brent Bell,542.00%,2016
The Butler,16-08-2013,https://en.wikipedia.org/wiki/The_Butler,Drama,Forest Whitaker,Oprah Winfrey,David Oyelowo,Liam Neeson,John Cusack,30000000,176600000,146600000,Lee Daniels,488.67%,2013
The Cabin in the Woods,13-04-2012,https://en.wikipedia.org/wiki/The_Cabin_in_the_Woods,Horror,Richard Jenkins,Bradley Whitford,Jesse Williams,Chris Hemsworth,Kristen Connolly,30000000,66500000,36500000,Drew Goddard,121.67%,2012
The Call,15-03-2013,https://en.wikipedia.org/wiki/The_Call_(2013_film),Mystery,Abigail Breslin,Halle Berry,Morris Chestnut,Michael Eklund,Michael Imperioli,13000000,68600000,55600000,Brad Anderson,427.69%,2013
The Campaign,10-08-2012,https://en.wikipedia.org/wiki/The_Campaign_(film),Comedy,Will Ferrell,Zach Galifianakis,Jason Sudeikis,Katherine LaNasa,Dylan McDermott,95000000,104900000,9900000,Jay Roach,10.42%,2012
The Cold Light of Day,07-09-2012,https://en.wikipedia.org/wiki/The_Cold_Light_of_Day_(film),Action,Henry Cavill,Bruce Willis,Sigourney Weaver,Veronica Echegui,Roschoy Zem,20000000,16900000,-3100000,Mabrouk El Mechri,-15.50%,2012
The Collection,30-11-2012,https://en.wikipedia.org/wiki/The_Collection_(film),Horror,Josh Stewart,Emma Fitzpatrick,unknown,unknown,unknown,10000000,8900000,-1100000,Marcus Dunstan,-11.00%,2012
The Conjuring,19-07-2013,https://en.wikipedia.org/wiki/The_Conjuring_(film),Thriller,Patrick Wilson,Vera Farmiga,Ron Livingston,Lili Taylor,Shannon Kook,20000000,318000000,298000000,James Wan,1490.00%,2013
The Conjuring 2,07-06-2016,https://en.wikipedia.org/wiki/The_Conjuring_2,Horror,Patrick Wilson,Vera Farmiga,unknown,unknown,unknown,40000000,319500000,279500000,James Wan,698.75%,2016
The Croods,22-03-2013,https://en.wikipedia.org/wiki/The_Croods,Adventure,Nicolas Cage,Ryan Reynolds,Emma Stone,Catherine Keener,Clark Duke,135000000,587200000,452200000,Chris Sanders,334.96%,2013
The Danish Girl,05-09-2015,https://en.wikipedia.org/wiki/The_Danish_Girl_(film),Drama,Eddie Redmayne,Alicia Vikander,Matthias Schoenaerts,Ben Whishaw,unknown,15000000,64200000,49200000,Tom Hooper,328.00%,2015
The Darkness,13-05-2016,https://en.wikipedia.org/wiki/The_Darkness_(film),Horror,Kevin Bacon,Radha Mitchell,David Mazouz,Lucy Fry,Matt Walsh,4000000,10900000,6900000,Greg McLean,172.50%,2016
The Devil Inside,06-01-2012,https://en.wikipedia.org/wiki/The_Devil_Inside_(film),Horror,Suzan Crowley,Fernanda Andrade,Simon Quarterman,Evan Helmuth,unknown,1000000,101800000,100800000,William Brent Bell,10080.00%,2012
The Dictator,16-05-2012,https://en.wikipedia.org/wiki/The_Dictator_(2012_film),Comedy,Sacha Baron Cohen,Ben Kingsley,Anna Faris,Megan Fox,John C. Reilly,65000000,179400000,114400000,Larry Charles,176.00%,2012
The Divergent Series: Allegiant,18-03-2016,https://en.wikipedia.org/wiki/The_Divergent_Series:_Allegiant,Adventure,Shailene Woodley,Theo James,Naomi Watts,Jeff Daniels,Ansel Elgort,110000000,179200000,69200000,Robert Schwentke,62.91%,2016
The Divergent Series: Insurgent,19-03-2015,https://en.wikipedia.org/wiki/The_Divergent_Series:_Insurgent,Sci-Fi,Shailene Woodley,Kate Winslet,Theo James,Ansel Elgort,Naomi Watts,110000000,297300000,187300000,Robert Schwentke,170.27%,2015
The Drop,12-09-2014,https://en.wikipedia.org/wiki/The_Drop_(film),Drama,Tom Hardy,Noomi Rapace,James Gandolfini,Matthias Schoenaerts,John Ortiz,12600000,18700000,6100000, Michaël R. Roskam,48.41%,2014
The Duff,12-02-2015,https://en.wikipedia.org/wiki/The_Duff,Comedy,Mae Whitman,Robbie Amell,Bella Thorne,Bianca A. Santos,Allison Janney,8500000,43500000,35000000,Ari Sandel,411.76%,2015
The East,31-05-2013,https://en.wikipedia.org/wiki/The_East_(film),Crime,Brit Marling,Alexander Skarsgard,Ellen Page,Julia Ormond,Patricia Clarkson,6500000,2400000,-4100000,Zal Batmanglij,-63.08%,2013
The Equalizer,07-09-2014,https://en.wikipedia.org/wiki/The_Equalizer_(film),Thriller,Denzel Washington,Chloe Grace Moretz,Marton Csokas,David Harbour,Bill Pullman,55000000,192300000,137300000,Antoine Fuqua,249.64%,2014
The Expendables 2,17-08-2012,https://en.wikipedia.org/wiki/The_Expendables_2,Action,Sylvester Stallone,Jason Statham,Dolph Lundgren,Terry Crews,Randy Couture,100000000,305400000,205400000,Simon West,205.40%,2012
The Expendables 3,04-08-2014,https://en.wikipedia.org/wiki/The_Expendables_3,Action,Sylvester Stallone,Arnold Schwarzenegger,Harrison Ford,Mel Gibson,Jason Statham,90000000,206200000,116200000,Patrick Hughes,129.11%,2014
The Family,13-09-2013,https://en.wikipedia.org/wiki/The_Family_(2013_film),Crime,Robert De Niro,Michelle Pfeiffer,Dianna Agron,Tommy Lee Jones,Vincent Pastore,30000000,78400000,48400000,Luc Besson,161.33%,2013
The Fault in Our Stars,16-05-2014,https://en.wikipedia.org/wiki/The_Fault_in_Our_Stars_(film),Drama,Shailene Woodley,Ansel Elgort,unknown,unknown,unknown,13000000,307200000,294200000,Josh Boone,2263.08%,2014
The Five-Year Engagement,27-04-2012,https://en.wikipedia.org/wiki/The_Five-Year_Engagement,Comedy,Jason Segel,Emily Blunt,Chris Pratt,Alison Brie,Rhys Ifans,30000000,53900000,23900000,Nicholas Stoller,79.67%,2012
The Forest,08-01-2016,https://en.wikipedia.org/wiki/The_Forest_(2016_film),Horror,Natalie Dormer,Taylor Kinney,unknown,unknown,unknown,10000000,37600000,27600000,Jason Zada,276.00%,2016
The Gift,30-07-2015,https://en.wikipedia.org/wiki/The_Gift_(2015_film),Thriller,Jason Bateman,Rebecca Hall,Joel Edgerton,unknown,unknown,5000000,59000000,54000000,Joel Edgerton,1080.00%,2015
The Giver,11-08-2014,https://en.wikipedia.org/wiki/The_Giver_(film),Sci-Fi,Jeff Bridges,Brenton Thwaites,Meryl Streep,Alexander Skarsgard,Katie Holmes,25000000,67000000,42000000,Phillip Noyce,168.00%,2014
The Grand Budapest Hotel,06-02-2014,https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel,Comedy,Ralph Fiennes,Tony Revolori,F. Murray Abraham,Mathieu Amalric,Adrien Brody,23000000,174800000,151800000,Wes Anderson,660.00%,2014
The Great Gatsby,10-05-2013,https://en.wikipedia.org/wiki/The_Great_Gatsby_(2013_film),Drama,Leonardo DiCaprio,Tobey Maguire,Joel Edgerton,Carey Mulligan,Isla Fisher,105000000,351000000,246000000,Baz Luhrmann,234.29%,2013
The Grey,27-01-2012,https://en.wikipedia.org/wiki/The_Grey_(film),Action,Liam Neeson,Frank Grillo,Dermot Mulroney,Dallas Roberts,unknown,25000000,77300000,52300000,Joe Carnahan,209.20%,2012
The Gunman,20-03-2015,https://en.wikipedia.org/wiki/The_Gunman_(film),Thriller,Sean Penn,Javier Bardem,Ray Winstone,Idris Elba,Mark Rylance,40000000,24200000,-15800000,Pierre Morel,-39.50%,2015
The Hangover Part III,23-05-2013,https://en.wikipedia.org/wiki/The_Hangover_Part_III,Comedy,Bradley Cooper,Zach Galifianakis,Ed Helms,Justin Bartha,Ken Jeong,103000000,362000000,259000000,Todd Phillips,251.46%,2013
The Hateful Eight,25-12-2015,https://en.wikipedia.org/wiki/The_Hateful_Eight,Drama,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,Tim Roth,44000000,155800000,111800000,Quentin Tarantino,254.09%,2015
The Heat,28-06-2013,https://en.wikipedia.org/wiki/The_Heat_(film),Action,Sandra Bullock,Melissa McCarthy,Kaitlin Olson,Tony Hale,Demian Bichir,43000000,229900000,186900000,Paul Feig,434.65%,2013
The Hobbit: The Battle of the Five Armies,01-12-2014,https://en.wikipedia.org/wiki/The_Hobbit:_The_Battle_of_the_Five_Armies,Adventure,Ian McKellen,Martin Freeman,Richard Armitage,Evangeline Lilly,Luke Evans,250000000,956000000,706000000,Peter Jackson,282.40%,2014
The Host,29-03-2013,https://en.wikipedia.org/wiki/The_Host_(2013_film),Sci-Fi,Saoirse Ronan,Max Irons,Jake Abel,Diane Kruger,William Hurt,40000000,63300000,23300000,Andrew Niccol,58.25%,2013
The Hundred-Foot Journey,08-08-2014,https://en.wikipedia.org/wiki/The_Hundred-Foot_Journey_(film),Drama,Helen Mirren,Manish Dayal,unknown,unknown,unknown,22000000,88900000,66900000, Lasse Hallström,304.09%,2014
The Hunger Games,23-03-2012,https://en.wikipedia.org/wiki/The_Hunger_Games_(film),Action,Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Wes Bentley,Elizabeth Banks,78000000,694400000,616400000,Gary Ross,790.26%,2012
The Hunger Games: Mockingjay  Part 1,10-11-2014,https://en.wikipedia.org/wiki/The_Hunger_Games:_Mockingjay_%25E2%2580%2593_Part_1,Sci-Fi,Jennifer Lawrence,Josh Hutcherson,Woody Harrelson,Julianne Moore,Donald Sutherland,125000000,755400000,630400000,Francis Lawrence,504.32%,2014
